player_id,player_display_name,position,recent_team,season,week,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,racr,target_share,air_yards_share,wopr,fantasy_points,fantasy_points_ppr
00-0001661,Kyle Brady,TE,NE,2007,9,1.22,1.22,9.444445,0.22,5.7777777,3.6666667,0.6666667,1.4060276,0.049951382,0.03488458,0.09934627,2.2777777,3.5
00-0002058,Tim Brown,WR,LV,2002,19,4.95,7.79,56.0,0.11,0.0,0.0,2.8947368,0.0,0.2063425,0.0,0.0,6.226316,11.173684
00-0002058,Tim Brown,WR,LV,2003,16,3.25,5.88,35.4375,0.12,0.0,0.0,1.75,0.0,0.18780237,0.0,0.0,4.29375,7.54375
00-0002058,Tim Brown,WR,TB,2004,10,2.4,3.1,20.0,0.1,0.0,0.0,0.8,0.0,0.092442214,0.0,0.0,2.4,4.8
00-0002068,Troy Brown,WR,NE,2002,14,6.93,10.07,63.57143,0.21,0.0,0.0,3.4285715,0.0,0.27242586,0.0,0.0,7.7428575,14.671429
00-0002068,Troy Brown,WR,NE,2003,15,3.8,5.6,43.133335,0.27,0.0,0.0,2.0,0.0,0.15963303,0.0,0.0,6.0266666,9.826667
00-0002068,Troy Brown,WR,NE,2004,13,1.69,2.69,17.307692,0.08,0.0,0.0,1.0769231,0.0,0.086699806,0.0,0.0,2.1923077,3.8846154
00-0002068,Troy Brown,WR,NE,2005,13,3.15,3.15,39.23077,0.23,0.0,0.0,2.0,0.0,0.13063215,0.0,0.0,5.307692,8.461538
00-0002068,Troy Brown,WR,NE,2006,18,2.94,2.94,26.833334,0.22,15.055555,11.777778,1.7777778,2.1826792,0.14873332,0.12472269,0.31040585,4.2166667,7.161111
00-0002099,Isaac Bruce,WR,LA,2002,16,4.94,8.12,67.1875,0.44,0.0,0.0,3.125,0.0,0.21474111,0.0,0.0,9.20625,14.14375
00-0002099,Isaac Bruce,WR,LA,2003,15,5.07,8.93,73.13333,0.33,0.0,0.0,3.6666667,0.0,0.22989336,0.0,0.0,9.602667,14.669333
00-0002099,Isaac Bruce,WR,LA,2004,17,5.41,9.12,78.35294,0.35,0.0,0.0,3.8823528,0.0,0.25886774,0.0,0.0,9.488235,14.9
00-0002099,Isaac Bruce,WR,LA,2005,11,3.27,3.64,47.727272,0.27,0.0,0.0,1.9090909,0.0,0.14012069,0.0,0.0,6.409091,9.681818
00-0002099,Isaac Bruce,WR,LA,2006,16,4.62,4.62,68.625,0.19,51.8125,16.8125,3.375,1.3501257,0.20352188,0.3109408,0.52294135,8.1125,12.7375
00-0002099,Isaac Bruce,WR,LA,2007,13,4.23,4.69,56.384617,0.31,52.846153,9.153846,2.7692308,1.1705256,0.20009,0.2938164,0.50580645,7.453846,11.684615
00-0002099,Isaac Bruce,WR,SF,2008,15,4.0,4.93,55.533333,0.47,56.466667,13.2,2.8666666,1.1290467,0.21127236,0.32224366,0.5424791,8.333333,12.333333
00-0002099,Isaac Bruce,WR,SF,2009,9,2.33,5.44,29.333334,0.0,57.77778,7.111111,1.4444444,0.95215815,0.18331388,0.24403954,0.4457985,2.8444445,5.177778
00-0002102,Mark Bruener,TE,PIT,2002,10,1.3,1.8,6.6,0.1,0.0,0.0,0.4,0.0,0.051035695,0.0,0.0,1.26,2.56
00-0002102,Mark Bruener,TE,PIT,2003,3,0.67,1.67,0.33333334,0.33,0.0,0.0,0.33333334,0.0,0.04538809,0.0,0.0,2.0333333,2.7
00-0002102,Mark Bruener,TE,HOU,2004,8,0.5,1.25,6.5,0.0,0.0,0.0,0.25,0.0,0.039426953,0.0,0.0,0.65000004,1.15
00-0002102,Mark Bruener,TE,HOU,2005,2,1.0,1.0,11.0,0.0,0.0,0.0,0.5,0.0,0.06984127,0.0,0.0,1.1,2.1
00-0002102,Mark Bruener,TE,HOU,2006,8,1.12,1.12,7.75,0.25,3.75,4.0,0.5,1.4142046,0.06380982,0.06141393,0.13870448,2.2749999,3.3999999
00-0002159,Shawn Bryson,RB,BUF,2002,2,0.5,1.5,4.5,0.0,0.0,0.0,0.5,0.0,0.083333336,0.0,0.0,2.2,2.7
